가게,店
가격,価格
가구,家具
가깝다,近い
가끔,時々
가다,行く
가르치다,教える
가방,鞄
가볍다,軽い
가수,歌手
가슴,胸
가요,歌謡
가운데,間、中間
가위,はさみ
가을,秋
가장,最も、一番
가져가다,持って行く
가져오다,持って来る
가족,家族
가지,種類
가지다,持つ
각,各、おのおの
간,間
간단하다,簡単だ
간단히,簡単に
간식,間食、おやつ
간장,醤油
간호사,看護士
갈비,カルビ
갈비탕,カルビタン
갈색,褐色、茶色
갈아타다,乗り換える
감,柿
감기,風邪
감기약,風邪薬
감다,（目を）閉じる
감동,感動
감동하다,感動する
감사,感謝
감사드립니다,ありがとうございます
감사하다,感謝する
감사합니다,ありがとうございます
감자,じゃがいも
감자탕,カムジャタン
갑자기,急に
값,値段、価値
강,川
강아지,子犬
강좌,講座
갖다,持つ
같다,同じだ
같이,一緒に
개,～個、犬
개나리,レンギョウ
개인,個人
거기,そこ
거리,通り、街
거실,居室、居間
거울,鏡
거의,ほとんど
거짓말,嘘
걱정,心配
걱정하다,心配する
건강,健康
건강하다,健康だ
건너가다,渡って行く、渡る、横切る
건너다,渡る
건너편,向こう側、向かい
건물,建物
건배,乾杯
걷다,歩く
걸다,かける
걸리다,かかる
걸어가다,歩いて行く
걸어오다,歩いて来る
검은색,黒、黒色
것,もの、こと
게임,ゲーム、遊び
겨울,冬
겨울방학,冬休み
결과,結果
결정,決定
결정하다,決定する
결혼,結婚
결혼식,結婚式
결혼하다,結婚する
경기,競技、試合
경기장,競技場
경복궁,景福宮
경주,慶州
경찰,警察
경찰관,警察官
경찰서,警察署
경치,景色、風景
경험,経験
계단,階段
계란,鶏卵、たまご
계산하다,計算する
계속,続けて
계시다,いらっしゃる
계절,季節
계획,計画
고기,肉
고등학교,高等学校
고등학생,高校生
고르다,選ぶ
고마웠습니다,ありがとうございました
고맙다,ありがたい
고맙습니다,ありがとうございます
고모,（父方の）おば
고모부,（父方の）おばの夫、おじ
고속버스,高速バス
고양이,猫
고장,故障
고추,唐辛子
고추장,コチュジャン
고치다,なおす
고프다,（お腹が）すいている、空腹だ
고향,故郷、ふるさと
곧,すぐ
골목,路地、裏通り
골프,ゴルフ
곱다,美しい
곳,ところ
공,ボール、玉
공간,空間
공기,空気
공무원,公務員
공부,勉強
공부하다,勉強する
공연,公演
공원,公園
공중전화,公衆電話
공짜,ただ、無料
공책,ノート
공항,空港
공휴일,祝日
과,課
과거,過去
과일,果物
과자,菓子
과학,科学
관계,関係
관광하다,観光する
관심,関心、興味
광고,広告
괜찮다,大丈夫だ、構わない
괜찮습니다,大丈夫です、結構です
교과서,教科書
교수,教授
교실,教室
교체,交代
교통,交通
교통사고,交通事故
교회,教会
구,9
구경하다,見物する
구두,靴
구름,雲
구십,90
구월,９月
구하다,求める、手に入れる
국,スープ、汁
국내,国内
국립,国立
국수,麺、麺類
국어,国語
국적,国籍
