가계부,家計簿
가구점,家具店
가까이,近く
가꾸다,栽培する
가난,貧乏
가늘다,細い
가능,可能
가능성,可能性
가능하다,可能だ
가득,いっぱい
가라앉다,沈む
가렵다,かゆい
가루비누,粉石鹸
가리다,選ぶ
가리키다,示す
가만히,じっと、おとなしく
가뭄,干ばつ、日照り
가사,家事
가상,仮想
가스,ガス
가습기,加湿器
가입,加入
가전제품,家電製品
가정,家庭
가족적,家族的
가축,家畜
가치,価値
각각,別々に、それぞれ
각자,各自
각종,各種
간격,間隔
간절히,切に
간접적,間接的
간판,看板
간호,看護
갈다,替える
갈등,葛藤
갈수록,ますます
갈아입다,着替える
감각,感覚
감기다,巻かれる
감독,監督
감동적,感動的
감상,鑑賞
감소,減少
감정,感情
감탄,感嘆、感歎
강물,川水
강변,川沿い、川辺
강사,講師
강수량,降水量
강연,講演
강우량,降雨量
강의,講義
강의실,講義室
강조,強調
강하다,強い
갖추다,整える、準備する
갚다,返す、報いる
개강,開講
개구리,カエル
개구쟁이,いたずらっ子、やんちゃ
개다,晴れる
개막식,開幕式、開会式
개발,開発
개방,開放
개방적,開放的
개선,改善
개성,個性
개성적,個性的
개인적,個人的
개최,開催
객관적,客観的
객실,客室
갸름하다,細長い
걔,その子
거래,取引
거미,蜘蛛
거북이,カメ
거스름돈,お釣り
거절,拒絶
거짓,嘘、偽り
거치다,こすれる
거품,泡
걱정거리,心配事
건강식,健康食
건강식품,健康食品
건너,向こう
건네다,手渡す、（声を）かける
건더기,具、カップ麺の加薬
건망증,健忘症、物忘れ
건설,建設
건전지,乾電池
건조,乾燥
건축,建築
건축가,建築家
걸레,雑巾
걸레질,雑巾がけ
걸음,歩み
검다,黒い
검사,検査
검색,検索
검색어,検索語、検索単語
겁,恐れ、怖さ
겉,表面、外面
겉모습,見かけ
게다가,その上、それに
게시판,掲示板
게으르다,怠ける、怠惰だ
게임기,ゲーム機
겨우,やっと、ようやく
격려,激励
겪다,経験する、経る
견디다,耐える
결과적,結果的
결국,結局
결론,結論
결말,結末
결석,欠席
결승전,決勝戦
결심,決心
결코,決して
결혼기념일,結婚記念日
결혼식장,結婚式場
겸손,謙遜
겹치다,重なる
경고,警告
경력,経歴
경비,警備
경비원,警備員
경영,経営
경영자,経営者
경영학,経営学
경우,場合
경쟁,競争
경쟁력,競争力
경제,経済
경제력,経済力
경제적,経済的
경제학,経済学
계산,計算、会計
계산대,レジ
계산서,計算書
계약,契約
계약금,契約金
계약서,契約書
계좌,口座
계층,階層
계획성,計画性
계획적,計画的
고개,頭、峠
고객,顧客
고구마,さつまいも
고궁,昔の韓国の宮殿
고급,高級
고래,クジラ
고마움,ありがたみ
고무신,ゴム靴
고무줄,輪ゴム
고민,悩み
고백,告白
고생,苦労
고소하다,香ばしい
고속,高速
고속도로,高速道路
고아원,孤児院
고유하다,固有である
고지서,告知書
고집,固執
고춧가루,唐辛子粉
고층,高層
고통,苦痛
곤란,困難
골고루,均等に
골목길,路地
골치가,아프다 非常に面倒だ
곰,クマ
곱슬머리,くせ毛、天然パーマ
곳곳,あちこち、至るところ
공공요금,公共料金
공공장소,公共の場所
공동,共同
공동생활,共同生活
공사,工事
공손하다,礼儀正しい
공연장,公演会場
공장,工場
공주,お姫様
공통,共通
공통점,共通点
공포,恐怖
공해,公害
과로,過労
과목,科目
과소비,浪費
과속,スピード違反、
과식,食べ過ぎ
과연,果たして
과외,家庭教師レッスン
과음,飲み過ぎ
과장,課長
과장하다,誇張する
과정,過程
과제,課題
과학자,科学者
과학적,科学的
관객,観客
관계없다,関係ない
관계자,関係者
관광,観光
관광객,観光客
관광지,観光地
관람,観覧
관람객,観覧客
관련,関連
관련성,関連性
관리,管理
관리실,管理室
관용어,慣用句
관찰,観察
광장,広場
괜히,訳もなく
괴로움,辛さ
괴로워하다,煩う(わずら)
괴롭다,辛い
괴롭히다,苦しめる、いじめる
굉장하다,凄い
굉장히,ものすごく
교사,教師
교외,郊外
교육,教育
교육자,教育者
교육학,教育学
교재,教材
교통수단,交通手段
교통편,交通手段
교포,同胞
교환,交換
구두쇠,ケチ
구르다,転がる
구매,購買
구멍,穴
구별,区別
구분,区分
구성,構成
구이,焼き物
구인,求人
구입,購入
구조,構造
구조대,救助隊
구체적,具体的
국가,国家
국그릇,汁椀
국내선,国内線
국문학,国文学
국물,汁、スープ
국민,国民
국악,伝統音楽
국외,国外
국제결혼,国際結婚
국제선,国際線
국화,菊
군대,軍隊
군데,所
굵다,太い
궁금증,気がかり
궁금하다,気になる
권하다,すすめる
귀걸이,イヤリング
귀국,帰国
귀신,幽霊、お化け
귀중하다,貴重だ
귀찮다,面倒くさい
귀하다,尊い、高貴だ、立派だ
규칙적,規則的
그네,ブランコ
그녀,彼女
그늘,日陰
그대로,そのまま
그래도,それでも
그래야,そうしてみたところで
그래프,グラフ
그러니,だから
그러다가,そうこうするうちに
그러므로,それゆえ
그러자,すると
그러하다,そのようだ
그루,～株、～本
그룹,グループ
그리,それほど
그리워하다,なつかしがる
그리하여,そうして
그림책,絵本
그립다,懐かしい、恋しい
그만두다,やめる
그만큼,それくらい
그저,ただ
근데,ところで
근로자,勤労者
근무,勤務
근육,筋肉
글쎄,まあ
글쓴이,著者
글씨,文字
글자,文字
긁다,掻く(かく）、ひっかく
금,金
금메달,金メダル
금액,金額
금지,禁止
급히,急に
긍정적,肯定的、前向き
기계,機械
기념,記念
기념관,記念館
기념일,記念日
기념품,記念品
기능,機能
기다,這う
기대,期待
기도,祈祷
기둥,柱
기록,記録
기본,基本
기본적,基本的
기부,寄付
기쁨,喜び
기술,技術
기술자,技術者
기억,記憶
기억나다,思い出す
기억력,記憶力
기업,企業
기업인,企業家
기운,元気、気運
기울이다,傾ける
기준,基準
기차역,駅
기차표,列車のチケット
기초,基礎
기행문,紀行文
기호,記号
기혼,既婚
기회,機会、チャンス
기후,気候
긴장감,緊張感
길가,道端
길거리,通り、路上
길이,長さ
김장,冬にキムチを漬け込む行事
깊다,深い
깊이,深さ、深く
까다,皮をむく
까다롭다,気難しい
깔다,敷く
깜빡,うっかり
깨끗이,きれいに
깨닫다,悟る
깨뜨리다,割る
깨소금,ゴマ塩
깨우다,起こす
깻잎,エゴマの葉
꺼지다,消える
껍질,皮
꼬리,しっぽ
꼬박꼬박,欠かさずきちんと
꼭대기,てっぺん、頂上
꼴찌,びり、最下位
꼼꼼하다,几帳面だ
꼼꼼히,几帳面に
꽃병,花瓶
꽤,かなり、なかなか
꾸미다,飾る
꾸준히,着実に
꾸짖다,叱る
꿀,はちみつ
꿀벌,ミツバチ
꿈꾸다,夢見る
끈,紐
끊다,切る
끊어지다,切れる
끊임없다,絶え間無い
끌다,引く
끝내,最後まで、ついに
끼어들다,割り込む
나날이,日に日に
나들이,おでかけ
나름,次第
나머지,残り、余り
나물,ナムル
나뭇잎,葉
나서다,進み出る、関与する
나아가다,進む
나아지다,よくなる
나타내다,現す
낙서,落書き
낙엽,落ち葉
난로,ストーブ、暖炉
난방,暖房
날개,翼、羽
날다,飛ぶ
날로,日ごとに
날리다,飛ばす
날씬하다,やせている
날아가다,飛ぶ
날아다니다,飛び回る
날아오다,飛んでくる
날아오르다,飛び立つ
낡다,古い
남녀노소,老若男女
남녀평등,男女平等
남다,残る、余る
남부,南部
남성,男性
남성복,男性服
낫다,治る
낭비,浪費、無駄遣い
낯설다,見慣れない
낳다,産む
내내,ずっと
내려다보다,見下ろす
내복,下着
내부,内部
내성적,内気な
내용물,中身、内容物
내쫓다,追い出す
냇가,小川
냉방병,冷房病
너그럽다,寛大だ、度量が大きい
너무나,あまりにも
넉넉하다,十分だ、豊かだ
널다,干す、風に当てる
넓히다,広げる、広くする
넘기다,渡す
넘어가다,移る
넘치다,あふれる
네모나다,四角い
네트워크,ネットワーク
년대,年代
노동,労働
노동자,労働者
노력,努力
노선,路線
노약자,お年寄り、体の不自由な方
노인,老人
노처녀,未婚で年をとった女性
노총각,未婚で年を取った男性
노트북,ノート型パソコン
녹다,溶ける
녹음,録音
녹음기,録音機
논문,論文
놀랍다,驚くべきだ、目覚ましい
놀리다,からかう
놀이,遊び
놀이터,公園、広場
놈,奴
농담,冗談
농민,農民、農夫
농부,農夫
농사,農業
농약,農薬
농작물,農作物
농촌,農村
높이,高さ
높이다,高める
높임말,敬語
놓이다,置かれる
놓치다,逃す、失う
눈길,視線
눈높이,目の高さ
눈병,眼病
눈보라,吹雪
눈사태,雪崩
눈썹,眉
눈치,気転、、顔つき
눌러쓰다,深々とかぶる
느긋하다,のんびりしている、ゆったりしている
느끼하다,脂っこい
늘리다,増やす
늘어나다,伸びる、長くなる、増える
늘어서다,並ぶ
늙다,老いる
늦추다,遅らせる
다가오다,近づいてくる、接近する
다녀가다,寄っていく
다람쥐,リス
다루다,扱う
다림질,アイロンかけ
다수,多数
다양하다,多様だ
다음날,翌日
다정하다,思いやりがある、情深い、やさしい
다투다,もめる、言い争う
다행,幸い
다행히,幸い、運よく
단계,段階
단골,常連
단기간,短期間
단단하다,丈夫だ、しっかりしている
단발머리,おかっぱ
단백질,タンパク質
단속,取り締まり
단순하다,単純である
단순히,単純に
단위,単位
단정하다,断定する、端正だ
단체,団体
단풍,紅葉、もみじ
달라지다,変わる
달려가다,走る
달려오다,走ってくる
달리,他に、別に
달리기,ランニング
달밤,月夜
달아나다,逃げる
달콤하다,甘ったるい
닭갈비,タッカルビ
담,垣根
담기다,入れられる、盛られる
담다,盛る
담당,担当
담당자,担当者
담백하다,淡白だ
담뱃불,たばこの火
담임,担任
답,答え、返事
답글,返信
답답하다,はがゆい、重苦しい
답변,答弁
당기다,引く、引っ張る
당분간,当分の間
당연하다,当然である
당연히,当然
당장,即刻、今のところ
당하다,やられる
당황하다,慌てる
대개,大概、大抵
대기업,大企業
대다,当てる、触れる
대단하다,すごい、大したものだ
대단히,非常に
대도시,大都市
대량,大量
대리,代理
대문,門
대신,代わり
대여,貸与、レンタル
대여료,レンタル料
대접,もてなし、接待
대중,大衆
대중교통,公共交通機関
대중목욕탕,銭湯
대책,対策
대청소,大掃除
대체로,大体
대출,貸し付け、貸し出し
대통령,大統領
대표,代表
대표적,代表的
대형,大型
댄스,ダンス
더구나,その上、しかも、さらに
더러워지다,汚れる
더욱,もっと、よりいっそう
더위,暑さ
더하다,ひどくなる、加える
덕,おかげ
던지다,投げる
덜,より少なく、まだ～ない
덜다,減らす
데다,やけどする
데려오다,連れてくる
데치다,ゆでる、さっとゆでる
도구,道具
도난,盗難
도대체,一体全体
도둑,泥棒
도망가다,逃げる
도서,図書
도시락,弁当
도장,印鑑、実印
도전,挑戦
도중,途中
독,毒
독감,インフルエンザ、ひどい風邪
독립,独立
독방,独房
독신자,独身者
독특하다,独特だ
돌,石
돌다,回る
돌려받다,返してもらう
돌려보내다,返す、帰らせる
돌려주다,返す
